date,merchant,amount,category
Jan 1st 23,UBER *TRIP,(€12.50),Transport
1998-02-03T05:33:21Z,Uber Technologies,$13.00 ,Travel
01/03/89,UBER EATS,  £25.4,Food
2014/07/04,Uber*Eats, €25.40 ,Delivery
5-Jan-99,UBER TRIP ,$ 12 ,Transport
Jan 6th ’02, TARGET #112, -₹54.20 ,Shopping
1987.01.07,TGT 445,"€19,99",Retail
February 8 2015,Target Store #112 , C$23.10 ,Retail
2001-12-09, WAL-MART SUPERCENTER 3301 , -$102.33 ,Groceries
1/10/12,WALMART , ９８.１¥ ,Groceries
11-01-30, Walmart Super Ctr,(£101.05),Grocery
1994/01/12,Aｍａｚｏｎ MKTPLACE PMTS, €14.22 ,Online
1/13/24, Amazon.Com , -$120.00 ,Ecommerce
"March 14, 1997",AMZN PRIME ,14.99USD ,Subscription
2003-01-15,SPOTIFY  USA ,-€9.99 ,Subscription
06/16/14, Spotify , (9.99£) ,Entertainment
2011.11.17,CHIPOTLE #221, $11.30 ,Food
18-01-27,Chipotle Mexican Grill ,A$12.00 ,Restaurant
Jan 19 90, CHIPOTLE , -€10.5 ,Dining
1999/01/20, EXXONMOBIL 44543354 ,$45.00 ,Gas
1/21/04,Exxon ,¥46.20 ,Fuel
Jan 22nd 1988,EXXON MOBIL , 44.10USD ,Gas
1975-01-23,WHOLEFDS MRKT 10203, -$73.90 ,Groceries
01/24/03,Whole Foods Market ,  ￥７５.００ ,Food
"Jan 25, ’89", WHOLE FOODS ,£-80.45 ,Grocery
Jan 26th ‘05,AMAZON Mktp US, €1'234.56 ,Online
1/27/99,AMZN Digital ,Ξ12.3.4 ,Entertainment
2019-01-28T14:00:00-05:00,Uber Eats,$15.00 ,Food
01-29-14,Wal-Mart ,C$45.000 ,Groceries
Jan 30 12,Whole Foods,"€ 1 234,5",Groceries
2010/01/31,Chipotle, $ 10.00 ,Dining
02/01/22,SPOTIFY,-₹ 9.９９ ,Subscription
1996-02-02,A M A Z O N,€14.2 ,Online
3rd Feb ’85,ExxonMobil,£40 ,Gas
2009-02-04,Starbucks Coffee,£4’75 ,Coffee
1983-02-05T09:01:11+00:00,STARBUCKS #4421, (A$4.75) ,Cafe
